ReviewComment,UserRating,ReviewDate,Status,UserId,IsSpoiler,LikeCount,MovieId,SentimentScore
Görsel olarak çok başarılıydı.,1,2022-03-16,1,e773f0d7-8993-4d86-8ea7-bebae41fb02a,0,0,35,
Film genel olarak başarılıydı.,1,2022-06-09,1,d99b45e0-52b4-4684-9d0f-a0ec863756b6,1,0,33,
Finali etkileyiciydi.,3,2025-08-03,1,e3062dde-337e-4594-806a-887166545641,0,0,26,
Oyunculuklar ve atmosfer çok iyiydi.,1,2022-08-04,1,01214202-a38b-4d17-b7cf-13ab7ebe9500,0,0,81,
Tekrar izlenebilecek bir yapım.,5,2025-03-10,1,11c9aa42-b714-4387-9450-8d08a2317abd,0,0,7,
Hikâye güçlü ama tempo sorunluydu.,1,2024-04-15,1,7031a57f-88b0-4c75-a76b-bf7b9ff262f7,1,0,29,
Finali etkileyiciydi.,5,2024-07-15,1,a216791d-4c7a-4162-bbc2-d9e40d353439,0,0,14,
Finali etkileyiciydi.,2,2024-09-27,1,9c564df6-1ac5-4d11-bf20-2ecdbc4a7550,0,0,96,
Müzikleri filme ayrı bir hava katmış.,3,2024-10-20,1,9c564df6-1ac5-4d11-bf20-2ecdbc4a7550,0,0,80,
Tekrar izlenebilecek bir yapım.,5,2024-08-14,1,c776bb05-f634-4f37-8eef-b5fa56e875db,0,0,57,
Beklentimin biraz altında kaldı.,1,2025-03-15,1,25a7ad3e-118c-4fc4-91a1-1d8505ae8010,0,0,98,
Müzikleri filme ayrı bir hava katmış.,5,2024-04-02,1,808024ce-68dd-4b74-a050-db6e0165b86c,0,0,10,
Bazı sahneler gereksiz uzatılmıştı.,2,2024-04-15,1,99ac3066-6d2a-448f-bba2-d6e1a30f1e64,0,0,17,
Bazı sahneler gereksiz uzatılmıştı.,4,2022-06-30,1,d2244dd0-a9f9-400f-8f32-0a6572c01fa3,0,0,62,
Müzikleri filme ayrı bir hava katmış.,1,2022-03-30,1,4904099d-15f4-45ab-a94b-7ddaac3d0ba6,0,0,76,
Film genel olarak başarılıydı.,1,2022-12-22,1,d99b45e0-52b4-4684-9d0f-a0ec863756b6,0,0,9,
Oyunculuklar ve atmosfer çok iyiydi.,3,2023-09-12,1,4904099d-15f4-45ab-a94b-7ddaac3d0ba6,0,0,8,
Finali etkileyiciydi.,2,2024-06-29,1,d99b45e0-52b4-4684-9d0f-a0ec863756b6,0,0,19,
Beklentimin biraz altında kaldı.,2,2023-09-11,1,01214202-a38b-4d17-b7cf-13ab7ebe9500,0,0,9,
Tekrar izlenebilecek bir yapım.,2,2023-06-09,1,7031a57f-88b0-4c75-a76b-bf7b9ff262f7,0,0,17,
Müzikleri filme ayrı bir hava katmış.,3,2024-10-18,1,6304650a-859b-4bd5-98bb-85af18662493,0,0,99,
Beklentimin biraz altında kaldı.,2,2022-01-09,1,5b38298f-6a39-4326-8464-1f855d70d6f7,0,0,78,
Film genel olarak başarılıydı.,2,2024-04-07,1,2907842f-fe98-490b-a795-b79b3389f4a8,1,0,81,
Müzikleri filme ayrı bir hava katmış.,3,2022-02-14,1,113f100c-7966-4457-8d9a-75fc4ba9d52d,0,0,27,
Tekrar izlenebilecek bir yapım.,2,2024-04-10,1,6304650a-859b-4bd5-98bb-85af18662493,0,0,37,
Film genel olarak başarılıydı.,1,2023-04-07,1,2836f9aa-ed96-43d5-8eb8-2cb4189bcd9e,0,0,59,
Beklentimin biraz altında kaldı.,5,2022-03-06,1,66e3688d-0f76-48e8-9388-9bb239237bb9,0,0,34,
Müzikleri filme ayrı bir hava katmış.,3,2024-09-11,1,e1160d85-4f35-4d49-8404-5ced12eaa580,0,0,7,
Müzikleri filme ayrı bir hava katmış.,3,2023-10-04,1,e773f0d7-8993-4d86-8ea7-bebae41fb02a,0,0,51,
Senaryo daha iyi olabilirdi.,1,2024-01-09,1,2907842f-fe98-490b-a795-b79b3389f4a8,1,0,81,
Görsel olarak çok başarılıydı.,5,2023-02-15,1,94b4eae5-1c9c-40af-9838-af795ab50c8a,0,0,81,
Senaryo daha iyi olabilirdi.,4,2025-02-14,1,3cbd50b8-c4a3-4a78-a8b0-185b20e5c1db,0,0,76,
Bazı sahneler gereksiz uzatılmıştı.,1,2022-12-25,1,fb5a4b1a-b7f1-4cbd-89c5-9f4e7b63f3be,0,0,96,
Beklentimin biraz altında kaldı.,2,2024-04-24,1,808024ce-68dd-4b74-a050-db6e0165b86c,0,0,1,
Finali etkileyiciydi.,2,2024-03-05,1,808024ce-68dd-4b74-a050-db6e0165b86c,0,0,19,
Bazı sahneler gereksiz uzatılmıştı.,1,2022-08-31,1,fb5a4b1a-b7f1-4cbd-89c5-9f4e7b63f3be,1,0,75,
Bazı sahneler gereksiz uzatılmıştı.,5,2023-05-22,1,67f60c3d-e565-4b08-8326-9c9f5a715c07,0,0,49,
Hikâye güçlü ama tempo sorunluydu.,5,2023-10-06,1,cbeca4ca-d496-41f3-9c25-17d882fa0952,0,0,38,
Müzikleri filme ayrı bir hava katmış.,2,2023-04-25,1,deede98b-aad8-4fb2-8f54-6c1bca24f082,0,0,89,
Görsel olarak çok başarılıydı.,2,2023-12-07,1,963df7ea-1f4b-4aeb-8596-b4ad5c3f52f9,1,0,89,
Finali etkileyiciydi.,3,2025-10-29,1,e8c7e432-04d5-48c9-bf1c-5a2c5c7a9656,1,0,11,
